Date,Open,High,Low,Close,Adj Close,Volume
2015-08-14,27668.060547,28100.640625,27643.199219,28067.310547,28067.310547,13200
2015-08-17,28093.539063,28095.970703,27739.130859,27878.269531,27878.269531,12300
2015-08-18,27949.130859,28040.730469,27747.400391,27831.539063,27831.539063,11800
2015-08-19,27851.810547,28021.390625,27721.250000,27931.640625,27931.640625,10900
2015-08-20,27959.189453,27964.599609,27564.160156,27607.820313,27607.820313,14400
2015-08-21,27440.099609,27442.820313,27131.439453,27366.070313,27366.070313,14000
2015-08-24,26730.400391,26730.400391,25624.720703,25741.560547,25741.560547,26000
2015-08-25,25916.259766,26124.830078,25298.419922,26032.380859,26032.380859,21200
2015-08-26,26063.269531,26156.609375,25657.560547,25714.660156,25714.660156,13400
2015-08-27,26137.029297,26302.769531,25943.750000,26231.189453,26231.189453,18600
2015-08-28,26542.839844,26687.330078,26270.169922,26392.380859,26392.380859,12100
2015-08-31,26469.419922,26504.730469,26215.160156,26283.089844,26283.089844,10000
2015-09-01,26127.039063,26141.070313,25579.880859,25696.439453,25696.439453,14000
2015-09-02,25891.949219,25939.369141,25395.089844,25453.560547,25453.560547,16200
2015-09-03,25614.689453,25835.410156,25555.769531,25764.779297,25764.779297,11300
2015-09-04,25772.580078,25775.380859,25119.060547,25201.900391,25201.900391,14100
2015-09-07,25302.980469,25387.320313,24851.769531,24893.810547,24893.810547,12800
2015-09-08,24972.009766,25411.000000,24833.539063,25317.869141,25317.869141,12600
2015-09-09,25682.869141,25820.560547,25553.609375,25719.580078,25719.580078,14400
2015-09-10,25522.960938,25733.699219,25287.500000,25622.169922,25622.169922,14600
2015-09-11,25793.769531,25875.960938,25530.410156,25610.210938,25610.210938,11800
2015-09-14,25706.869141,25891.730469,25531.070313,25856.699219,25856.699219,8800
2015-09-15,25908.339844,25909.830078,25649.369141,25705.929688,25705.929688,11200
2015-09-16,25884.050781,26006.750000,25816.500000,25963.970703,25963.970703,9600
2015-09-18,26130.359375,26471.820313,26130.359375,26218.910156,26218.910156,56600
2015-09-21,26107.980469,26233.460938,25972.539063,26192.980469,26192.980469,8100
2015-09-22,26274.369141,26339.099609,25571.339844,25651.839844,25651.839844,13600
2015-09-23,25526.529297,25934.019531,25386.480469,25822.990234,25822.990234,11700
2015-09-24,25798.050781,25949.900391,25670.960938,25863.500000,25863.500000,11800
2015-09-28,25922.710938,25936.890625,25593.560547,25616.839844,25616.839844,11700
2015-09-29,25496.380859,26054.369141,25287.330078,25778.660156,25778.660156,20700
2015-09-30,25986.519531,26179.699219,25918.210938,26154.830078,26154.830078,27500
2015-10-01,26344.189453,26431.800781,26168.710938,26220.949219,26220.949219,11000
2015-10-05,26379.419922,26822.419922,26375.310547,26785.550781,26785.550781,11400
2015-10-06,26976.660156,27010.269531,26751.250000,26932.880859,26932.880859,13600
2015-10-07,26966.859375,27082.279297,26877.509766,27035.849609,27035.849609,17100
2015-10-08,27116.859375,27120.109375,26762.359375,26845.810547,26845.810547,14900
2015-10-09,26974.919922,27200.439453,26910.589844,27079.509766,27079.509766,18800
2015-10-12,27242.599609,27305.039063,26855.750000,26904.109375,26904.109375,18400
2015-10-13,26874.289063,26918.519531,26719.099609,26846.529297,26846.529297,10800
2015-10-14,26760.320313,26869.080078,26713.279297,26779.660156,26779.660156,10900
2015-10-15,26842.189453,27037.949219,26836.769531,27010.140625,27010.140625,12700
2015-10-16,27062.800781,27239.220703,26917.119141,27214.599609,27214.599609,10200
