Date,Open,High,Low,Close,Adj Close,Volume
2015-08-14,20048.000000,20679.800781,19955.099609,20600.599609,19876.697266,55123
2015-08-17,20630.000000,20750.000000,20348.000000,20664.800781,19938.644531,40248
2015-08-18,20850.400391,21040.000000,20671.000000,20944.599609,20208.609375,48890
2015-08-19,20985.000000,21360.000000,20750.199219,21235.500000,20489.287109,52139
2015-08-20,21248.000000,21596.000000,20916.400391,21017.599609,20279.044922,68608
2015-08-21,20898.000000,20898.000000,20300.000000,20464.800781,19745.671875,74515
2015-08-24,19964.800781,19965.000000,17821.000000,18585.500000,17932.410156,128917
2015-08-25,18851.099609,19195.900391,17900.000000,18698.900391,18041.822266,138587
2015-08-26,18689.900391,19194.900391,18499.900391,18567.000000,17914.560547,75480
2015-08-27,18950.000000,19499.800781,18723.199219,18771.599609,18111.968750,68978
2015-08-28,19000.000000,19145.800781,18533.099609,18919.199219,18254.382813,75797
2015-08-31,18944.000000,19189.699219,18772.099609,19014.800781,18346.623047,150093
2015-09-01,18890.000000,19088.000000,18034.199219,18259.300781,17617.673828,101060
2015-09-02,18435.000000,18720.000000,18230.000000,18377.199219,17731.427734,94084
2015-09-03,18577.000000,18643.000000,18303.199219,18382.699219,17736.736328,47586
2015-09-04,18382.699219,18383.099609,17760.000000,18177.699219,17538.939453,61514
2015-09-07,18215.000000,18300.000000,17290.400391,17442.900391,16829.958984,73618
2015-09-08,17477.800781,17477.800781,16711.099609,17234.199219,16628.593750,124808
2015-09-09,17500.000000,18027.300781,17322.300781,17967.300781,17335.933594,104827
2015-09-10,17750.000000,18694.400391,17450.099609,18496.900391,17846.921875,97738
2015-09-11,18590.000000,19024.000000,18590.000000,18882.099609,18218.585938,90604
2015-09-14,18975.000000,19080.000000,18511.199219,18836.500000,18174.589844,49572
2015-09-15,18829.699219,18964.900391,18420.000000,18576.300781,17923.533203,86046
2015-09-16,18650.000000,18750.000000,17628.800781,17937.000000,17306.697266,114798
2015-09-18,18149.699219,18475.000000,18110.000000,18234.400391,17593.648438,56693
2015-09-21,18150.000000,18560.000000,18052.199219,18478.199219,17828.876953,33124
2015-09-22,18579.000000,18746.900391,18228.199219,18334.900391,17690.617188,38467
2015-09-23,18100.000000,18599.000000,18100.000000,18254.400391,17612.943359,37681
2015-09-24,18299.900391,18332.800781,17703.300781,17776.199219,17151.546875,99007
2015-09-28,17914.800781,17930.000000,17200.000000,17282.599609,16675.292969,52408
2015-09-29,17100.000000,17788.699219,16842.000000,17440.699219,16827.837891,83540
2015-09-30,17580.199219,17844.000000,17183.900391,17791.599609,17166.406250,92168
2015-10-01,18001.000000,18333.000000,17619.800781,18286.300781,17643.726563,110420
2015-10-05,18440.000000,18800.000000,18400.000000,18772.800781,18113.128906,70263
2015-10-06,18924.699219,18935.000000,18575.000000,18630.199219,17975.535156,46623
2015-10-07,18550.000000,18988.000000,18542.599609,18905.199219,18240.873047,57436
2015-10-08,19000.000000,19005.199219,18607.800781,18666.300781,18010.369141,36652
2015-10-09,18750.000000,18863.199219,18252.599609,18318.199219,17674.501953,63401
2015-10-12,18341.099609,18518.199219,17931.000000,17982.400391,17350.500000,47820
2015-10-13,17994.800781,18182.000000,17652.199219,17820.300781,17194.097656,67201
2015-10-14,17800.000000,18289.000000,17800.000000,18180.199219,17541.351563,30751
2015-10-15,18235.000000,18478.000000,18226.199219,18311.199219,17667.748047,36903
2015-10-16,18349.000000,18443.900391,18190.000000,18286.599609,17644.009766,36707
2015-10-19,18329.599609,18343.900391,18104.099609,18241.300781,17600.306641,41110
2015-10-20,18264.900391,18350.000000,18050.000000,18161.199219,17523.017578,47338
2015-10-21,18190.000000,18430.000000,18017.000000,18210.599609,17570.681641,60959
2015-10-23,18305.000000,18359.900391,18120.000000,18158.699219,17520.603516,57269
2015-10-26,18188.300781,18240.000000,17837.800781,17934.900391,17304.669922,36566
2015-10-27,17903.199219,17905.000000,17535.000000,17659.800781,17039.240234,69219
2015-10-28,17549.800781,17734.900391,17288.300781,17392.300781,16781.138672,96109
2015-10-29,17444.199219,17530.099609,17273.800781,17418.699219,16806.607422,61285
2015-10-30,17518.699219,17862.000000,17431.199219,17742.400391,17118.933594,45620
2015-11-02,18011.900391,18094.400391,17825.000000,17975.400391,17343.746094,52439
2015-11-03,18004.000000,18095.000000,17975.000000,18010.800781,17377.904297,33098
2015-11-04,18060.000000,18186.699219,17727.199219,17768.199219,17143.826172,35064
2015-11-05,17840.000000,17967.000000,17600.000000,17678.000000,17056.800781,18573
2015-11-06,17700.000000,17995.000000,16428.000000,16693.300781,16106.700195,156934
2015-11-09,16400.000000,16445.900391,15818.799805,15952.500000,15391.932617,137594
2015-11-10,16049.000000,16111.799805,15611.000000,15841.599609,15284.928711,75183
2015-11-13,15900.000000,15925.500000,15520.299805,15624.200195,15075.169922,49662
2015-11-16,15599.000000,15689.799805,15020.000000,15262.200195,14725.889648,87500
2015-11-17,15452.000000,15540.000000,15291.000000,15493.900391,14949.448242,37979
2015-11-18,15570.000000,15983.599609,15475.000000,15883.799805,15325.646484,69871
2015-11-19,15995.000000,16190.000000,15918.000000,16166.700195,15598.604492,65768
2015-11-20,16200.000000,16460.000000,16099.200195,16416.900391,15840.013672,44525
2015-11-23,16500.000000,16795.500000,16174.000000,16756.300781,16167.486328,47488
2015-11-24,16798.900391,16799.000000,16602.000000,16650.199219,16065.115234,36972
2015-11-26,16651.099609,16729.699219,16250.200195,16485.599609,15906.298828,69766
2015-11-27,16525.099609,17050.000000,16510.000000,16596.400391,16013.206055,67722
2015-11-30,16690.000000,16861.099609,16598.099609,16728.900391,16141.050781,59467
2015-12-01,16877.000000,16879.800781,16204.900391,16237.500000,15666.916992,61435
2015-12-02,16380.000000,16500.000000,16083.900391,16360.700195,15785.789063,43255
2015-12-03,16330.000000,16765.000000,16243.500000,16692.300781,16105.736328,82818
2015-12-04,16590.000000,16679.800781,16360.000000,16428.900391,15851.591797,36679
2015-12-07,16460.000000,16575.000000,16201.000000,16230.799805,15660.452148,21383
2015-12-08,16229.000000,16530.000000,16177.099609,16307.099609,15734.070313,25507
2015-12-09,16300.000000,16370.299805,15658.500000,15728.099609,15175.417969,46466
2015-12-10,15884.799805,16100.000000,15680.200195,16039.799805,15476.165039,43836
2015-12-11,16050.000000,16100.000000,15450.000000,15560.799805,15013.996094,61454
2015-12-14,15350.000000,15575.000000,15100.000000,15366.500000,14826.524414,65944
2015-12-15,15399.000000,15925.000000,15270.000000,15862.000000,15304.611328,41885
2015-12-16,15900.000000,16280.000000,15900.000000,16063.799805,15499.321289,38232
2015-12-17,16140.000000,16380.000000,15990.000000,16277.099609,15705.125000,30970
2015-12-18,16216.000000,16270.200195,15945.200195,16160.299805,15592.429688,111888
2015-12-21,16100.099609,16332.400391,15969.900391,16031.000000,15467.674805,37808
2015-12-22,16100.000000,16190.000000,16010.000000,16075.799805,15510.900391,16596
2015-12-23,16175.799805,16240.000000,16010.200195,16189.799805,15620.893555,17287
2015-12-24,16201.000000,16300.000000,16114.500000,16172.200195,15603.913086,12304
2015-12-28,16198.900391,16650.000000,16198.000000,16598.599609,16015.329102,38140
2015-12-29,16601.000000,16735.199219,16508.000000,16703.099609,16116.157227,27763
